,书名,作者,价格,类别
0,2026考研政治知识点精讲精练(全2册),肖秀荣,49.50,教材教辅
1,2026考研数学精讲精练880题 数学一(全2册),李林,43.90,教材教辅
2,2026考研数学精讲精练880题 数学二(试题分册+解析分册)(1-2),李林,43.90,教材教辅
3,数学高分指南 管理类联考 总第18版 2026(全2册),陈剑,69.80,教材教辅
4,2026MBA、MPA、MPAcc、MEM联考 逻辑1000题一点通(全3册)总第11版,赵鑫全,69.80,教材教辅
5,2026管理类刷题 数学顿悟精练1000题,陈剑,69.80,教材教辅
6,5年高考3年模拟 数学 新高考适用 2026高考·A版 红色基础版(全3册),曲一线,89.80,教材教辅
7,考研数学真题真刷 提高篇 考点分类详解版 数学二2009-2025 (全2册),李永乐等,48.40,教材教辅
8,2026考研数学精讲精练880题 数学三(试题分册+解析分册)(1-2),李林,43.90,教材教辅
9,2026考研数学高频考点108题(数学一、二、三通用)(全2册),李林,36.80,教材教辅
10,如果历史是一群喵15 大清风云篇(文轩纪念特典版),肥志,32.00,文学小说
11,债法总论(第二版)(亲签版)(全2册),王洪亮,117.60,教材教辅
12,全国社会工作者职业水平考试辅导用书•社会工作实务(中级)考前冲刺试卷 2025,孙江涛,11.50,教材教辅
13,快捷英语 时文阅读与传统文化 中考考前预测 2025,中考英语研究组,31.84,教材教辅
14,民事诉讼法学(第四版)(亲签版),江伟,54.60,教材教辅
15,逻辑精点 MBA MPA MPAcc MEM联考与经济类联考 总第17版 2026(全2册),赵鑫全,69.80,教材教辅
16,快捷英语 英语时文阅读理解 七年级 No.28,石骥,31.84,教材教辅
17,2026管理类、经济类联考逻辑母题800练(全3册),吕建刚,63.80,教材教辅
18,管理类、经济类综合能力写作真题 2026,挑灯成硕,34.30,教材教辅
19,解题觉醒 高考化学 2026高考适用,杜志建,49.90,教材教辅
20,全国硕士研究生入学考试历史学基础 论述题 2026(全2册),长孙博,76.30,教材教辅
21,全真试题+标准模 4级 备战2025.6,张雪珍,29.00,教材教辅
22,公务员面试:100真题拆解面试,老夏,59.00,教材教辅
23,AI伴学,李尚龙,24.20,教材教辅
24,全国社会工作者职业水平考试辅导用书•社会工作综合能力(中级)考前冲刺试卷 2025,刘晓晨,14.80,教材教辅
25,考研政治刷题计划 2026(全2册),陆寓丰,42.90,教材教辅
26,考研政治考点清单 2026,陆寓丰,47.90,教材教辅
27,故事写作,王阳,39.80,教材教辅
28,我的教育观,丘成桐,49.00,教材教辅
29,高考必考知识点 数学 R,程旭东,3.60,教材教辅
30,高考语文高分作文,程旭东,3.60,教材教辅
31,写作精点 MBA、MPA、MPAcc、MEM联考与经济类联考 总第11版 2026版,赵鑫全,39.70,教材教辅
32,快捷英语 英语时文阅读理解 八年级 No.28,刘庆收,31.84,教材教辅
33,快捷英语 英语时文阅读理解 中考 No.28,王成广,31.84,教材教辅
34,高考志愿填报指南.中国高校专业解读(2025年),雒运强,41.00,教材教辅
35,考研政治通关优题库 2026(全两册),徐涛,58.90,教材教辅
36,2026年全国硕士研究生入学考试历史学基础 名词解释(全2册),长孙博,76.30,教材教辅
37,管理类、经济类综合能力逻辑真题 2026(全2册),挑灯成硕,37.40,教材教辅
38,全国硕士研究生入学考试历史学基础 313统考真题与冲刺8套卷 2026年,长孙博,48.30,教材教辅
39,2026年全国硕士研究生入学考试历史学基础 论述题(全2册),长孙博,69.30,教材教辅
40,雅思写作,西蒙·柯克伦,34.50,教材教辅
41,2026高考 A版 5年高考 3年模拟 生物学(全3册),曲一线,84.80,教材教辅
42,5年高考3年模拟 地理 2026高考·A版 红色基础版 新高考适用(全3册),曲一线,84.80,教材教辅
43,5年高考3年模拟 英语 新高考适用 2026高考·A版 红色基础版(全3册),曲一线,89.80,教材教辅
44,5年高考3年模拟 化学 新高考适用 2026高考·A版(全3册),曲一线,84.80,教材教辅
45,5年高考3年模拟 物理 2026高考·A版 红色基础版(全3册),曲一线,84.80,教材教辅
46,2026高考.A版 红色基础版 5年高考3年模拟 语文 新高考适用(全4册),曲一线,89.80,教材教辅
47,5年高考3年模拟 历史 2026高考·A版 红色基础版(全3册),曲一线,84.80,教材教辅
48,5年高考3年模拟 政治 2026高考·A版 红色基础版(全3册),曲一线,84.80,教材教辅
49,时文阅读 七年级 第4辑,刘强,16.30,教材教辅
50,篮球规则 2024,中国篮球协会,42.10,教材教辅
51,奥数教程 八年级(教程+能力测试+学习手册)(第八版) 套装(全3册),赵雄辉,56.30,教材教辅
52,《奥数教程七年级(第八版)套装》(教程+能力测试+学习手册) 高清视频版(全3册),单墫,56.30,教材教辅
53,《BLEACH死神 爱藏版》第4集限定版,久保帯人,107.20,教材教辅
54,雅思口语深度突破 全新升级版,安迪·斯马特,38.00,教材教辅
55,手把手教你成为教育科研高手,崔佳,48.90,教材教辅
56,考研英语阅读的逻辑,唐迟,37.10,教材教辅
57,爱是想触碰又收回的手-亲签版,谢侃,33.80,教材教辅
58,教师助手 巧用AI高效教学,汪兵,39.30,教材教辅
59,考研政治拆真题 2026,陆寓丰,24.90,教材教辅
60,新高考数学真题一题多解,张宇,34.80,教材教辅
61,抄写英语的奇迹,莉亚,32.40,教材教辅
62,新高考俄语词汇随身记,赵汝英,12.50,教材教辅
63,高中教材考试知识资源库 数学,杨文彬,37.10,教材教辅
64,高中教材考试知识资源库 物理,杨文彬,37.10,教材教辅
65,高中教材考试知识资源库 化学,杨文彬,37.10,教材教辅
66,物理竞赛教程 初中 第二分册 第七版,陈檬,33.50,教材教辅
67,物理竞赛教程 初中 第一分册 第七版,张继达,33.50,教材教辅
68,物理竞赛能力测试—初中第二分册（配《物理竞赛教程》第七版）,陈檬,25.90,教材教辅
69,劳动法与社会保障法:原理、材料与案例(第三版)(亲签版),黎建飞,40.60,教材教辅
70,高考必刷卷 42套模拟卷汇编 数学 新高考版 2026,杨文彬,29.30,教材教辅
71,高考志愿填报指南:中国高校简介及录取分数线(2025年),雒运强,41.00,教材教辅
72,三体(3册),刘慈欣,47.40,文学小说
73,米小圈脑筋急转弯(全4册),北猫,38.40,童书育儿
74,"曹文轩""纯美""小说系列•青铜葵花",曹文轩,15.80,童书育儿
75,米小圈上学记二年级(全4册),北猫,60.00,童书育儿
76,敖丙传 1,李子兰,28.00,文学小说
77,高中地理图文详解地图册,谭木高考复习研究室,37.70,教材教辅
78,高考必考知识点 英语 R,程旭东,3.60,教材教辅
79,高考必考知识点 历史 R,程旭东,3.60,教材教辅
80,中华人民共和国地图、世界地图——地理普及版(套装),中国地图出版社,16.20,社科经管
81,专项突破 初中数学 动点问题,王中峰,21.10,教材教辅
82,张宇考研数学题源探析经典1000题 数学一 2026版(全2册),张宇,32.80,教材教辅
83,MBA MPA MPAcc MEM管理类联考 数学分册 总第24版 2026,陈剑,42.20,教材教辅
84,管理类/经济类联考逻辑要点7讲 总第12版 2026(全5册),吕建刚,57.90,教材教辅
85,高考志愿填报指南 看就业 挑大学 选专业 2025年版,吴梅俏,44.90,教材教辅
86,全国硕士研究生入学考试历史学基础 大纲解析 2026(全2册),长孙博,76.30,教材教辅
87,全国硕士研究生入学考试历史学基础 大纲解析 2026年(全2册),长孙博,62.30,教材教辅
88,一句一句带你写 高考日语作文,小野老师,26.00,教材教辅
89,2026英语一刷题试用版(英一真题狂练05-25+自测手译本05-10),张剑,87.90,教材教辅
90,解题觉醒 高考政治 2026(全3册),杜志建,49.90,教材教辅
91,高考志愿填报指南 高校简介及录取分数线速查 2025年版,马章,44.90,教材教辅
92,考研数学概率论与数理统计辅导讲义 2026版(全二册),余丙森,29.30,教材教辅
93,"""意林体""作文素材大全 10(初中版)",《意林·作文素材》编辑部,16.40,教材教辅
94,人民日报教你写好文章 金句与使用(第五辑) 中考版,何郁,24.80,教材教辅
95,人民日报教你写好文章 热点与素材(第五辑) 中考版,陈辉,24.80,教材教辅
96,人民日报教你写好文章 热点与素材(第五辑) 高考版,陈辉,24.80,教材教辅
97,雅思口语,西蒙·柯克伦,34.50,教材教辅
98,六级通关 备战2025.6,杨枫,29.00,教材教辅
99,时文阅读 5年级 第1辑,刘强,15.10,教材教辅
